date,title,amount
2025-08-30,Mp *Restaurantech,59.00
2025-08-27,Wellhub Gympass Br Gym,59.90
2025-08-25,Ifd*Mamooth Sul Hambur,22.99
2025-08-24,Caheteltg Comercio de,26.50
2025-08-23,Apple.Com/Bill,5.90
2025-08-19,Ifd*Mamooth Sul Hambur,1.98
2025-08-15,B e B Empreendimentos,64.90
2025-08-10,Shopee *Dssalefast,24.99
2025-08-09,Marcos Marcola - 1/3,215.53
2025-08-05,B e B Empreendimentos,54.80
2025-08-05,Ingresso.com - NuPay,18.64
2025-08-04,Pagamento recebido,-668.18
2025-08-02,Magalu *Magalu - Parcela 3/10,244.90
2025-08-02,Mlp*Netshoes - Parcela 3/3,69.99
2025-08-02,Chema Foods,59.50
